ticker,nameKr,market,currency,quoteCurrency,assetType,strategy,riskLevel,expectedCagr,beta,mdd,dividendYield,goals,beginnerFit,tags,notes
VOO,미국 S&P500 대표 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|분산,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
SPY,미국 S&P500 대표 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|분산,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
IVV,미국 S&P500 대표 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|분산,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
VTI,미국 전체시장 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|분산,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
QQQ,나스닥100 성장 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,성장|테크,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
SCHD,미국 배당성장 ETF,US,KRW,USD,ETF,dividend,medium,,,,,dividend|core,true,배당|현금흐름,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
VIG,미국 배당성장 ETF,US,KRW,USD,ETF,dividend,medium,,,,,dividend|core,true,배당|현금흐름,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
VYM,미국 고배당 ETF,US,KRW,USD,ETF,dividend,medium,,,,,dividend|core,true,배당|현금흐름,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
DGRO,미국 배당성장 ETF,US,KRW,USD,ETF,dividend,medium,,,,,dividend|core,true,배당|현금흐름,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
BND,미국 종합채권 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|방어,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
TLT,미국 장기채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|방어,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
IEF,미국 중기채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|방어,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
SHY,미국 단기채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|방어,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
GLD,금 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive,true,원자재|헤지,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
IAU,금 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive,true,원자재|헤지,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
VNQ,미국 리츠 ETF,US,KRW,USD,ETF,dividend,medium-high,,,,,dividend|defensive,false,리츠|인컴,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
XLV,미국 헬스케어 ETF,US,KRW,USD,ETF,defensive,medium,,,,,defensive|growth,false,섹터|헬스케어,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
XLF,미국 금융 섹터 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,false,섹터|금융,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
XLE,미국 에너지 섹터 ETF,US,KRW,USD,ETF,dividend,medium-high,,,,,dividend|core,false,섹터|에너지,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
