market,ticker,providerSymbol,nameKr,assetType,sourceUniverse,tier,strategy,riskLevel,goals,beginnerFit,tags,dataStatus,expectedCagr,beta,mdd,dividendYield,displayDividendYield,dividendPolicy,dividendSource,metricsSource,reviewTag,reviewReason,notes,marketCap,aum,sizeSource
KR,000430,000430,TIGER 머니마켓액티브,ETF,existing_finple_kr_csv,standard,defensive,low-medium,defensive|core,True,현금성|머니마켓|금리형|방어,ready_with_metrics,-0.28,0.66,-59.48,0.7,0.70%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import|preserved_from_existing_final,,,
KR,069500,069500,KODEX 200,ETF,existing_finple_kr_csv,standard,core,medium,core,True,국내지수|코스피|대표지수|핵심,ready_with_metrics,5.84,1.05,-38.09,0.67,0.67%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=19.78|preserved_from_existing_final,,,
KR,091170,091170,KODEX 은행,ETF,existing_finple_kr_csv,standard,dividend,medium,dividend|core,True,국내섹터|금융|은행|배당,ready_with_metrics,14.67,0.55,-57.03,3.28,3.28%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=14.84|preserved_from_existing_final,,,
KR,091220,091220,TIGER 은행,ETF,existing_finple_kr_csv,standard,dividend,medium,dividend|core,True,국내섹터|금융|은행|배당,ready_with_metrics,14.57,0.55,-57.34,2.88,2.88%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=14.82|preserved_from_existing_final,,,
KR,102110,102110,TIGER 200,ETF,existing_finple_kr_csv,standard,core,medium,core,True,국내지수|코스피|대표지수|핵심,ready_with_metrics,5.98,1.05,-37.86,0.71,0.71%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=19.92|preserved_from_existing_final,,,
KR,102780,102780,KODEX 삼성그룹,ETF,existing_finple_kr_csv,standard,core,medium,core,True,국내지수|그룹주|대형주|핵심,ready_with_metrics,6.32,1.0,-36.47,0.64,0.64%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=20.43|preserved_from_existing_final,,,
KR,105190,105190,ACE 200,ETF,existing_finple_kr_csv,standard,core,medium,core,True,국내지수|코스피|대표지수|핵심,ready_with_metrics,5.89,1.06,-38.49,1.0,1.00%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=19.79|preserved_from_existing_final,,,
KR,114260,114260,KODEX 국고채3년,ETF,existing_finple_kr_csv,standard,defensive,low-medium,defensive|core,True,채권|국고채|방어,ready_with_metrics,1.47,0.02,-5.91,1.32,1.32%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=1.46|preserved_from_existing_final,,,
KR,143850,143850,TIGER 미국S&P500선물(H),ETF,existing_finple_kr_csv,standard,core,medium,core,True,해외지수|S&P500|환헤지|대표지수|핵심,ready_with_metrics,12.17,0.4,-34.99,1.03,1.03%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=12.28|preserved_from_existing_final,,,
KR,148020,148020,RISE 200,ETF,existing_finple_kr_csv,standard,core,medium,core,True,국내지수|코스피|대표지수|핵심,ready_with_metrics,5.97,1.06,-38.31,0.73,0.73%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=19.89|preserved_from_existing_final,,,
KR,152100,152100,PLUS 200,ETF,existing_finple_kr_csv,standard,core,medium,core,True,국내지수|코스피|대표지수|핵심,ready_with_metrics,6.01,1.05,-38.44,0.72,0.72%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=19.92|preserved_from_existing_final,,,
KR,152380,152380,KODEX 국고채10년,ETF,existing_finple_kr_csv,standard,defensive,low-medium,defensive|core,True,채권|국고채|장기채|방어,ready_with_metrics,-0.14,0.05,-21.31,1.15,1.15%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=-0.1|preserved_from_existing_final,,,
KR,153130,153130,KODEX 단기채권,ETF,existing_finple_kr_csv,standard,defensive,low-medium,defensive|core,True,채권|단기채권|방어,ready_with_metrics,1.81,0.0,-0.47,1.92,1.92%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=1.8|preserved_from_existing_final,,,
KR,161510,161510,PLUS 고배당주,ETF,existing_finple_kr_csv,standard,dividend,medium,dividend|core,True,국내배당|고배당|배당|핵심,ready_with_metrics,14.49,0.56,-51.63,3.43,3.43%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=14.32|preserved_from_existing_final,,,
KR,190620,190620,ACE 단기통안채,ETF,existing_finple_kr_csv,standard,defensive,low-medium,defensive|core,True,채권|통안채|단기채권|방어,ready_with_metrics,1.87,0.0,-0.05,2.55,2.55%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import|preserved_from_existing_final,,,
KR,210780,210780,TIGER 코스피고배당,ETF,existing_finple_kr_csv,standard,dividend,medium,dividend|core,True,국내배당|고배당|배당,ready_with_metrics,12.32,0.51,-48.01,2.49,2.49%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=11.8|preserved_from_existing_final,,,
KR,211560,211560,TIGER 배당성장,ETF,existing_finple_kr_csv,standard,dividend,medium,dividend|core,True,국내배당|배당성장|배당,ready_with_metrics,12.09,0.67,-50.42,2.37,2.37%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=11.77|preserved_from_existing_final,,,
KR,211900,211900,KODEX 배당성장,ETF,existing_finple_kr_csv,standard,dividend,medium,dividend|core,True,국내배당|배당성장|배당,ready_with_metrics,11.96,0.68,-50.46,2.65,2.65%,dividend_confirmed,existing_or_yfinance,fdr_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend pending; validate before app import; KR CAGR normalized override restored from v2.2.3; rawCagrBeforeFinal=11.63|preserved_from_existing_final,,,
