ticker,nameKr,market,currency,quoteCurrency,assetType,strategy,riskLevel,expectedCagr,beta,mdd,dividendYield,goals,beginnerFit,tags,notes
SPLG,미국 S&P500 저비용 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|S&P500|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
ITOT,미국 전체시장 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|전체시장|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
SCHB,미국 대형·전체시장 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|전체시장|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
QQQM,나스닥100 저비용 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,대표지수|나스닥100|성장|테크,expanded US candidate; metrics pending; source snapshot 2026-05-24
VUG,미국 대형 성장 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,성장|대형주|테크,expanded US candidate; metrics pending; source snapshot 2026-05-24
IWF,미국 대형 성장 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,성장|대형주,expanded US candidate; metrics pending; source snapshot 2026-05-24
IWD,미국 대형 가치 ETF,US,KRW,USD,ETF,core,medium,,,,,core,true,가치|대형주|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
VTV,미국 가치주 ETF,US,KRW,USD,ETF,core,medium,,,,,core,true,가치|대형주|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
VB,미국 소형주 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,중소형|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
IJR,미국 소형주 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,중소형|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
MTUM,미국 모멘텀 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth,false,팩터|모멘텀|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
QUAL,미국 퀄리티 ETF,US,KRW,USD,ETF,core,medium,,,,,core,true,팩터|퀄리티|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
